,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
0,068270,20,lg,34,0.470588235,1643.75,1541.176471,1.066555344,26300,26200,1.003816794,2.233333333
1,068270,20,dt,21,0.428571429,1188.888889,954.5454545,1.245502646,10700,10500,1.019047619,
2,068270,20,rf,29,0.517241379,1453.333333,2075,0.700401606,21800,24900,0.875502008,
3,068270,20,xg,40,0.4,1100,1318.181818,0.834482759,17600,29000,0.606896552,
0,068270,50,lg,3,0.666666667,3350,3000,1.116666667,6700,3000,2.233333333,
1,068270,50,dt,33,0.484848485,1506.25,1543.75,0.975708502,24100,24700,0.975708502,
2,068270,50,rf,26,0.538461538,1442.857143,916.6666667,1.574025974,20200,11000,1.836363636,
3,068270,50,xg,15,0.333333333,1180,1255.555556,0.939823009,5900,11300,0.522123894,
0,068270,100,lg,17,0.470588235,2700,2033.333333,1.327868852,21600,18300,1.180327869,
1,068270,100,dt,26,0.461538462,1375,1738.461538,0.790929204,16500,22600,0.730088496,
2,068270,100,rf,34,0.411764706,1650,1823.529412,0.90483871,23100,31000,0.74516129,
3,068270,100,xg,28,0.428571429,1500,1346.666667,1.113861386,18000,20200,0.891089109,
0,068270,150,lg,20,0.45,2544.444444,1690.909091,1.504778973,22900,18600,1.231182796,
1,068270,150,dt,35,0.314285714,1418.181818,1518.181818,0.934131737,15600,33400,0.467065868,
2,068270,150,rf,34,0.411764706,1514.285714,1876.470588,0.806986117,21200,31900,0.664576803,
3,068270,150,xg,26,0.5,1807.692308,1416.666667,1.2760181,23500,17000,1.382352941,
0,068270,200,lg,20,0.45,2622.222222,1763.636364,1.486827033,23600,19400,1.216494845,
1,068270,200,dt,12,0.333333333,4100,2300,1.782608696,16400,18400,0.891304348,
2,068270,200,rf,24,0.375,2644.444444,1892.857143,1.39706499,23800,26500,0.898113208,
3,068270,200,xg,22,0.545454545,983.3333333,1950,0.504273504,11800,15600,0.756410256,
0,068270,250,lg,17,0.470588235,2575,2233.333333,1.152985075,20600,20100,1.024875622,
1,068270,250,dt,22,0.318181818,3428.571429,2014.285714,1.70212766,24000,28200,0.85106383,
2,068270,250,rf,43,0.558139535,1262.5,1278.947368,0.987139918,30300,24300,1.24691358,
3,068270,250,xg,29,0.379310345,1672.727273,1412.5,1.184231698,18400,22600,0.814159292,
0,028260,20,lg,24,0.541666667,1223.076923,1610,0.759675108,15900,16100,0.98757764,2.115384615
1,028260,20,dt,17,0.411764706,2071.428571,1770,1.170298628,14500,17700,0.81920904,
2,028260,20,rf,32,0.40625,1630.769231,1344.444444,1.212968849,21200,24200,0.876033058,
3,028260,20,xg,38,0.526315789,1070,1475,0.725423729,21400,23600,0.906779661,
0,028260,50,lg,4,0.5,850,4850,0.175257732,1700,9700,0.175257732,
